DATE,BAA10Y_PCH
6/15/20,0.68729
6/16/20,-1.36519
6/17/20,-0.69204
6/18/20,-0.34843
6/19/20,0.34965
6/22/20,-0.34843
6/23/20,0.34965
6/24/20,0.69686
6/25/20,1.03806
6/26/20,0
6/29/20,0.68493
6/30/20,-0.34014
7/1/20,-1.36519
7/2/20,-0.69204
7/7/20,-0.70671
7/8/20,-1.42349
7/9/20,-1.44404
7/10/20,0.3663
7/13/20,0
7/14/20,-1.09489
7/15/20,0
7/16/20,-0.73801
7/17/20,-0.37175
7/20/20,-0.74627
7/21/20,-1.12782
7/22/20,-0.76046
7/23/20,-1.14943
7/24/20,0
7/27/20,-0.77519
7/28/20,0.39063
7/29/20,1.55642
7/30/20,-0.38314
7/31/20,0
8/3/20,1.15385
8/4/20,-0.38023
8/5/20,-1.14504
8/6/20,-0.7722
8/7/20,0
8/10/20,-0.38911
8/11/20,1.17188
8/12/20,-1.5444
8/13/20,1.56863
8/14/20,0.7722
8/17/20,1.14943
8/18/20,0
8/19/20,0.37879
8/20/20,0
8/21/20,-0.37736
8/24/20,-0.37879
8/25/20,0
8/26/20,1.14068
8/27/20,1.8797
8/28/20,0
8/31/20,-1.47601
9/1/20,0
9/2/20,-1.1236
9/3/20,0
9/4/20,1.51515
9/9/20,0.74906
9/10/20,0
9/11/20,0
9/14/20,-1.11524
9/15/20,0.75188
9/16/20,-0.37313
9/17/20,-0.74906
9/18/20,0.37736
9/21/20,0
9/22/20,0
9/23/20,0.75188
9/24/20,0.74627
9/25/20,1.48148
9/28/20,0.72993
9/29/20,-0.72464
9/30/20,0.36496
10/1/20,0
10/2/20,0.36364
10/5/20,-0.72464
10/6/20,-1.45985
10/7/20,-0.37037
10/8/20,-0.37175
10/9/20,-0.37313
10/14/20,-0.37736
10/15/20,0.37879
10/16/20,-0.37736
10/19/20,-1.13636
10/20/20,1.14943
10/21/20,-0.37879
10/22/20,-0.76046
10/23/20,-0.38314
10/26/20,0
10/27/20,0
10/28/20,0.76923
10/29/20,-0.38168
10/30/20,0
11/2/20,-0.38314
11/3/20,-0.76923
11/4/20,0
11/5/20,-2.32558
11/6/20,-0.39683
11/9/20,-1.59363
11/10/20,-1.21457
11/13/20,-0.40816
11/16/20,-0.81967
11/17/20,0
11/18/20,-1.23967
11/19/20,-1.67364
11/20/20,0
11/23/20,-0.85106
11/24/20,-0.85837
11/25/20,0.4329
11/30/20,-1.2931
12/1/20,-0.43668
12/2/20,-1.75439
12/3/20,-0.44643
12/4/20,0
12/7/20,-0.44843
12/8/20,0
12/9/20,0.9009
12/10/20,-0.89286
12/11/20,0.45045
12/14/20,0.44843
12/15/20,0.89286
12/16/20,-0.44248
12/17/20,-0.88889
12/18/20,0.44843
12/21/20,-0.44643
12/22/20,-0.44843
12/23/20,0.9009
12/24/20,-0.44643
12/29/20,0
12/30/20,-0.9009
12/31/20,-0.90909
1/5/21,1.82648
1/6/21,1.79372
1/7/21,-1.76211
1/8/21,-1.79372
1/11/21,-1.82648
1/12/21,0.46512
1/13/21,-1.38889
1/14/21,-0.46948
1/15/21,0.4717
1/20/21,0
1/21/21,0.47393
1/22/21,0.9434
1/25/21,0.46729
1/26/21,0.46512
1/27/21,0
1/28/21,0.46296
1/29/21,0
2/1/21,0.92166
2/2/21,-0.45662
2/3/21,-0.45872
2/4/21,0.92166
2/5/21,-0.45662
2/8/21,-1.83486
2/9/21,0.46729
2/10/21,0.46512
2/11/21,0.92593
2/12/21,0.45872
2/17/21,-0.93023
2/18/21,0
2/19/21,0.46948
2/22/21,0.93458
2/23/21,1.85185
2/24/21,0.90909
2/25/21,-4.5045
2/26/21,0
3/1/21,0.4717
3/2/21,0.93897
3/3/21,-0.46512
3/4/21,-0.46729
3/5/21,0
3/8/21,0.46948
3/9/21,0.93458
3/10/21,0.46296
3/11/21,0.46083
3/12/21,0.45872
3/15/21,-0.45662
3/16/21,0.45872
3/17/21,1.82648
3/18/21,-2.69058
3/19/21,-3.22581
3/22/21,-0.95238
3/23/21,1.44231
3/24/21,-0.47393
3/25/21,0.47619
3/26/21,-0.94787
3/29/21,-0.47847
3/30/21,-1.92308
3/31/21,-0.4902
4/1/21,-2.46305
4/6/21,1.03627
4/7/21,0.51282
4/8/21,1.02041
4/9/21,-1.0101
4/12/21,-0.5102
4/13/21,1.02564
4/14/21,0.50761
4/15/21,-1.51515
4/16/21,1.02564
4/19/21,1.01523
4/20/21,0.50251
4/21/21,0.5
4/22/21,-0.99502
4/23/21,0
4/26/21,-0.50251
4/27/21,-0.50505
4/28/21,0.50761
4/29/21,-0.50505
4/30/21,-0.50761
5/3/21,0
5/4/21,0.5102
5/5/21,0.50761
5/6/21,-1.0101
5/7/21,0.5102
5/10/21,0.50761
5/11/21,1.51515
5/12/21,0.49751
5/13/21,0.9901
5/14/21,-0.4902
5/17/21,-0.49261
5/18/21,0.49505
5/19/21,-0.49261
5/20/21,0
5/21/21,-0.49505
5/24/21,-0.49751
5/25/21,0.5
5/26/21,-1.49254
5/27/21,0
5/28/21,0.50505
6/2/21,0.50761
6/3/21,-1.0101
6/4/21,1.02041
6/7/21,0
6/8/21,0
6/9/21,-1.0101
6/10/21,2.04082
6/11/21,-1.5
6/14/21,-0.50761
6/15/21,0
