"Date","Price","Open","High","Low","Vol.","Change %"
"09/02/2022","1,635.58","1,634.21","1,636.90","1,632.17","","-0.04%"
"09/01/2022","1,636.25","1,641.11","1,641.11","1,633.40","","-0.37%"
"08/31/2022","1,642.38","1,639.09","1,644.66","1,638.53","","0.01%"
"08/30/2022","1,642.22","1,642.02","1,644.94","1,638.73","","0.13%"
"08/29/2022","1,640.05","1,644.57","1,644.60","1,637.63","","-0.51%"
"08/26/2022","1,648.45","1,648.93","1,650.23","1,644.41","","-0.02%"
"08/25/2022","1,648.73","1,645.37","1,649.14","1,645.12","","0.22%"
"08/24/2022","1,645.03","1,647.69","1,647.75","1,643.11","","-0.05%"
"08/23/2022","1,645.84","1,644.36","1,649.78","1,641.55","","0.01%"
"08/22/2022","1,645.70","1,648.32","1,648.38","1,642.80","","-0.30%"
"08/19/2022","1,650.59","1,654.27","1,654.52","1,646.62","","-0.31%"
"08/18/2022","1,655.66","1,659.90","1,660.03","1,652.82","","-0.28%"
"08/17/2022","1,660.33","1,661.77","1,663.61","1,657.82","","0.01%"
"08/16/2022","1,660.20","1,661.57","1,662.48","1,660.20","","-0.26%"
"08/15/2022","1,664.60","1,668.27","1,668.43","1,661.14","","-0.20%"
"08/12/2022","1,667.99","1,665.24","1,668.27","1,664.77","","0.05%"
"08/11/2022","1,667.08","1,670.50","1,670.53","1,664.83","","0.11%"
"08/10/2022","1,665.33","1,661.41","1,671.97","1,660.14","","0.23%"
"08/09/2022","1,661.59","1,662.34","1,662.73","1,660.39","","0.07%"
"08/08/2022","1,660.43","1,659.85","1,662.41","1,657.76","","-0.07%"
"08/05/2022","1,661.57","1,661.06","1,663.23","1,657.38","","0.26%"
"08/04/2022","1,657.25","1,656.93","1,660.92","1,654.49","","0.11%"
"08/03/2022","1,655.38","1,656.76","1,658.73","1,653.92","","-0.27%"
"08/02/2022","1,659.88","1,657.83","1,662.69","1,656.91","","-0.15%"
"08/01/2022","1,662.41","1,659.79","1,662.41","1,656.41","","0.08%"
"07/29/2022","1,661.11","1,660.12","1,663.69","1,657.30","","0.16%"
"07/28/2022","1,658.38","1,655.42","1,660.43","1,654.35","","0.40%"
"07/27/2022","1,651.80","1,650.92","1,655.45","1,649.62","","-0.05%"
"07/26/2022","1,652.67","1,653.34","1,654.14","1,649.94","","0.07%"
"07/25/2022","1,651.48","1,650.52","1,653.04","1,648.89","","0.13%"
"07/22/2022","1,649.29","1,647.77","1,652.08","1,645.58","","0.11%"
"07/21/2022","1,647.55","1,647.66","1,649.13","1,645.50","","-0.11%"
"07/20/2022","1,649.31","1,652.22","1,653.05","1,647.16","","-0.11%"
"07/19/2022","1,651.11","1,648.49","1,652.72","1,647.19","","0.05%"
"07/18/2022","1,650.34","1,647.60","1,651.36","1,647.17","","0.31%"
"07/15/2022","1,645.23","1,645.48","1,647.40","1,641.79","","-0.06%"
"07/14/2022","1,646.23","1,653.53","1,653.67","1,639.61","","-0.44%"
"07/13/2022","1,653.58","1,651.61","1,655.41","1,647.99","","0.22%"
"07/12/2022","1,650.01","1,652.81","1,653.12","1,648.60","","-0.35%"
"07/11/2022","1,655.84","1,662.31","1,662.40","1,652.01","","-0.27%"
"07/08/2022","1,660.39","1,660.56","1,662.31","1,657.53","","0.08%"
"07/07/2022","1,659.13","1,656.67","1,660.98","1,655.55","","0.19%"
"07/06/2022","1,656.04","1,657.20","1,658.75","1,655.12","","-0.21%"
"07/05/2022","1,659.57","1,665.50","1,666.72","1,654.72","","-0.38%"
"07/04/2022","1,665.83","1,663.95","1,667.06","1,663.40","","0.15%"
"07/01/2022","1,663.38","1,668.83","1,668.83","1,660.98","","-0.21%"
"06/30/2022","1,666.83","1,667.62","1,669.63","1,664.56","","-0.08%"
"06/29/2022","1,668.16","1,668.07","1,669.97","1,666.67","","-0.32%"
"06/28/2022","1,673.55","1,674.19","1,675.82","1,667.88","","-0.12%"
"06/27/2022","1,675.50","1,673.48","1,676.75","1,672.65","","0.28%"
"06/24/2022","1,670.86","1,670.78","1,674.15","1,668.97","","0.08%"
"06/23/2022","1,669.47","1,671.22","1,671.22","1,666.89","","-0.05%"
"06/22/2022","1,670.23","1,674.34","1,674.35","1,666.98","","-0.24%"
"06/21/2022","1,674.33","1,672.93","1,675.24","1,671.51","","0.03%"
"06/20/2022","1,673.82","1,671.81","1,675.83","1,670.77","","0.08%"
"06/17/2022","1,672.56","1,675.50","1,675.85","1,669.02","","-0.01%"
"06/16/2022","1,672.74","1,678.24","1,678.74","1,670.43","","0.12%"
"06/15/2022","1,670.74","1,670.78","1,678.49","1,669.19","","0.01%"
"06/14/2022","1,670.65","1,667.78","1,673.66","1,666.69","","0.04%"
"06/13/2022","1,669.96","1,678.42","1,678.42","1,665.69","","-0.80%"
"06/10/2022","1,683.46","1,688.28","1,689.48","1,677.38","","-0.48%"
"06/09/2022","1,691.65","1,692.67","1,695.19","1,687.19","","-0.14%"
"06/08/2022","1,693.97","1,695.11","1,695.85","1,691.16","","0.00%"
"06/07/2022","1,694.04","1,697.74","1,698.28","1,692.07","","-0.45%"
"06/06/2022","1,701.72","1,699.17","1,702.85","1,697.52","","0.15%"
"06/03/2022","1,699.14","1,703.12","1,704.25","1,697.90","","0.11%"
"06/02/2022","1,697.31","1,696.75","1,702.84","1,692.52","","-0.06%"
"06/01/2022","1,698.38","1,702.38","1,703.47","1,696.12","","-0.35%"
"05/31/2022","1,704.27","1,705.47","1,705.55","1,700.56","","0.01%"
"05/30/2022","1,704.06","1,696.41","1,706.55","1,695.96","","0.56%"
"05/27/2022","1,694.65","1,689.18","1,697.17","1,687.33","","0.49%"
"05/26/2022","1,686.41","1,688.67","1,690.09","1,683.30","","-0.20%"
"05/25/2022","1,689.84","1,692.50","1,693.10","1,685.73","","0.01%"
"05/24/2022","1,689.72","1,692.21","1,693.50","1,688.37","","-0.11%"
"05/23/2022","1,691.58","1,682.49","1,693.92","1,682.45","","0.32%"
"05/20/2022","1,686.22","1,682.98","1,686.25","1,679.33","","0.68%"
"05/19/2022","1,674.79","1,672.90","1,683.39","1,671.62","","-0.14%"
"05/18/2022","1,677.14","1,679.79","1,680.11","1,671.83","","0.07%"
"05/17/2022","1,675.99","1,668.19","1,680.49","1,668.10","","0.54%"
"05/16/2022","1,666.92","1,668.55","1,669.38","1,664.32","","0.02%"
"05/13/2022","1,666.66","1,664.47","1,668.27","1,663.29","","0.08%"
"05/12/2022","1,665.31","1,672.47","1,672.57","1,661.22","","-0.53%"
"05/11/2022","1,674.22","1,672.84","1,676.62","1,669.81","","0.10%"
"05/10/2022","1,672.62","1,671.04","1,676.00","1,669.10","","0.06%"
"05/09/2022","1,671.70","1,680.94","1,680.94","1,669.97","","-0.54%"
"05/06/2022","1,680.85","1,685.09","1,685.10","1,679.17","","-0.57%"
"05/05/2022","1,690.49","1,700.20","1,700.72","1,682.23","","-0.10%"
"05/04/2022","1,692.18","1,693.52","1,699.80","1,690.66","","0.03%"
"05/03/2022","1,691.72","1,687.15","1,693.01","1,686.08","","0.04%"
"05/02/2022","1,690.96","1,692.28","1,693.08","1,686.14","","-0.25%"
"04/29/2022","1,695.28","1,688.05","1,696.61","1,685.98","","0.51%"
"04/28/2022","1,686.71","1,695.37","1,695.73","1,682.82","","-0.46%"
"04/27/2022","1,694.43","1,696.69","1,696.71","1,692.07","","-0.33%"
"04/26/2022","1,700.00","1,702.98","1,707.63","1,696.01","","-0.03%"
"04/25/2022","1,700.53","1,711.23","1,711.27","1,699.39","","-0.80%"
"04/22/2022","1,714.26","1,721.33","1,722.14","1,709.54","","-0.53%"
"04/21/2022","1,723.47","1,728.62","1,729.72","1,720.45","","-0.27%"
"04/20/2022","1,728.14","1,727.57","1,729.12","1,724.90","","-0.05%"
"04/19/2022","1,729.00","1,733.78","1,734.10","1,726.26","","-0.24%"
"04/18/2022","1,733.17","1,734.29","1,734.36","1,731.43","","-0.16%"
"04/15/2022","1,735.88","1,734.25","1,735.88","1,732.87","","0.01%"
"04/14/2022","1,735.74","1,738.35","1,739.45","1,731.78","","-0.05%"
"04/13/2022","1,736.54","1,736.92","1,739.09","1,734.84","","0.11%"
"04/12/2022","1,734.56","1,735.04","1,737.98","1,732.81","","0.00%"
"04/11/2022","1,734.60","1,737.22","1,737.26","1,733.10","","-0.12%"
"04/08/2022","1,736.64","1,737.72","1,737.72","1,732.97","","-0.04%"
"04/07/2022","1,737.33","1,740.38","1,740.70","1,736.52","","-0.24%"
"04/06/2022","1,741.51","1,743.76","1,743.84","1,739.37","","-0.26%"
"04/05/2022","1,746.01","1,747.48","1,748.97","1,742.68","","-0.04%"
"04/04/2022","1,746.64","1,742.42","1,747.46","1,742.32","","0.22%"
"04/01/2022","1,742.83","1,743.99","1,744.04","1,740.69","","-0.09%"
"03/31/2022","1,744.43","1,744.63","1,746.23","1,742.77","","0.03%"
"03/30/2022","1,743.82","1,738.82","1,745.14","1,736.30","","0.50%"
"03/29/2022","1,735.19","1,727.46","1,740.77","1,727.35","","0.54%"
"03/28/2022","1,725.81","1,726.30","1,728.32","1,723.66","","-0.19%"
"03/25/2022","1,729.10","1,725.19","1,729.10","1,725.17","","0.12%"
"03/24/2022","1,727.10","1,726.23","1,727.54","1,724.22","","-0.02%"
"03/23/2022","1,727.49","1,723.84","1,727.49","1,721.48","","0.27%"
"03/22/2022","1,722.78","1,722.60","1,724.38","1,718.63","","0.01%"
"03/21/2022","1,722.59","1,723.23","1,725.63","1,720.15","","-0.11%"
"03/18/2022","1,724.43","1,727.20","1,727.83","1,720.52","","-0.06%"
"03/17/2022","1,725.47","1,723.95","1,728.05","1,721.98","","0.54%"
"03/16/2022","1,716.26","1,709.16","1,722.04","1,707.85","","0.52%"
"03/15/2022","1,707.34","1,705.67","1,710.97","1,701.89","","0.03%"
"03/14/2022","1,706.89","1,707.64","1,711.29","1,703.19","","-0.19%"
"03/11/2022","1,710.22","1,713.20","1,716.60","1,707.04","","-0.15%"
"03/10/2022","1,712.83","1,714.35","1,717.83","1,711.12","","0.15%"
"03/09/2022","1,710.24","1,708.17","1,718.27","1,706.90","","0.24%"
"03/08/2022","1,706.12","1,704.04","1,710.93","1,703.74","","0.06%"
"03/07/2022","1,705.03","1,716.85","1,716.85","1,701.75","","-0.71%"
"03/04/2022","1,717.22","1,726.28","1,726.63","1,713.89","","-0.64%"
"03/03/2022","1,728.33","1,729.25","1,730.58","1,721.17","","0.34%"
"03/02/2022","1,722.50","1,725.06","1,731.39","1,722.09","","-0.24%"
"03/01/2022","1,726.72","1,729.03","1,737.38","1,721.30","","-0.09%"
"02/28/2022","1,728.28","1,741.26","1,741.29","1,725.49","","-0.76%"
"02/25/2022","1,741.52","1,735.39","1,744.21","1,735.29","","0.41%"
"02/24/2022","1,734.41","1,750.74","1,750.95","1,729.79","","-0.96%"
"02/23/2022","1,751.17","1,751.25","1,753.75","1,750.43","","0.10%"
"02/22/2022","1,749.48","1,748.63","1,751.71","1,745.09","","-0.09%"
"02/21/2022","1,750.99","1,749.33","1,752.83","1,748.26","","0.04%"
"02/18/2022","1,750.29","1,748.12","1,752.29","1,747.65","","0.12%"
"02/17/2022","1,748.24","1,750.12","1,750.98","1,746.60","","-0.01%"
"02/16/2022","1,748.45","1,747.77","1,750.11","1,746.78","","0.19%"
"02/15/2022","1,745.13","1,741.63","1,747.55","1,741.38","","0.14%"
"02/14/2022","1,742.63","1,740.03","1,742.86","1,738.73","","-0.04%"
"02/11/2022","1,743.29","1,743.75","1,745.49","1,739.05","","-0.20%"
"02/10/2022","1,746.86","1,745.41","1,747.57","1,742.30","","0.16%"
"02/09/2022","1,744.08","1,742.85","1,745.97","1,742.29","","0.14%"
"02/08/2022","1,741.56","1,742.09","1,742.57","1,739.41","","0.04%"
"02/07/2022","1,740.87","1,742.63","1,743.01","1,739.27","","0.10%"
"02/04/2022","1,739.21","1,741.86","1,742.91","1,738.22","","0.00%"
"02/03/2022","1,739.17","1,740.19","1,741.63","1,738.09","","0.05%"
"02/02/2022","1,738.27","1,740.12","1,741.64","1,738.27","","-0.01%"
"02/01/2022","1,738.50","1,738.12","1,739.99","1,737.33","","0.10%"
"01/31/2022","1,736.69","1,731.99","1,738.23","1,731.62","","0.29%"
"01/28/2022","1,731.71","1,733.58","1,734.11","1,730.13","","-0.14%"
"01/27/2022","1,734.08","1,739.43","1,739.43","1,730.63","","-0.30%"
"01/26/2022","1,739.32","1,739.92","1,741.15","1,737.37","","0.04%"
"01/25/2022","1,738.60","1,740.49","1,740.54","1,736.94","","-0.04%"
"01/24/2022","1,739.21","1,742.70","1,743.74","1,736.83","","-0.19%"
"01/21/2022","1,742.55","1,742.86","1,744.00","1,740.93","","-0.08%"
"01/20/2022","1,743.87","1,743.67","1,745.43","1,741.99","","0.16%"
"01/19/2022","1,741.08","1,738.04","1,743.25","1,736.81","","0.09%"
"01/18/2022","1,739.49","1,743.64","1,744.99","1,737.29","","-0.16%"
"01/17/2022","1,742.23","1,741.37","1,743.05","1,739.93","","-0.03%"
"01/14/2022","1,742.71","1,741.92","1,744.52","1,740.28","","0.06%"
"01/13/2022","1,741.65","1,743.73","1,744.22","1,740.70","","0.05%"
"01/12/2022","1,740.74","1,739.08","1,743.50","1,738.44","","0.20%"
"01/11/2022","1,737.28","1,734.58","1,738.67","1,733.88","","0.22%"
"01/10/2022","1,733.40","1,733.75","1,735.33","1,731.86","","0.08%"
"01/07/2022","1,731.97","1,728.71","1,733.27","1,728.47","","0.14%"
"01/06/2022","1,729.60","1,730.96","1,731.52","1,726.63","","-0.23%"
"01/05/2022","1,733.55","1,731.81","1,734.65","1,730.00","","0.07%"
"01/04/2022","1,732.34","1,734.26","1,734.74","1,729.34","","-0.07%"
"01/03/2022","1,733.58","1,734.88","1,736.67","1,733.58","","-0.05%"
"12/31/2021","1,734.37","1,733.52","1,737.98","1,732.37","","0.05%"
"12/30/2021","1,733.51","1,733.88","1,734.93","1,730.75","","0.04%"
"12/29/2021","1,732.75","1,734.22","1,734.75","1,732.75","","-0.06%"
"12/28/2021","1,733.81","1,734.10","1,735.04","1,733.47","","0.02%"
"12/27/2021","1,733.53","1,733.48","1,734.12","1,732.80","","0.03%"
"12/24/2021","1,732.93","1,733.25","1,733.47","1,731.53","","0.15%"
"12/23/2021","1,730.42","1,729.71","1,732.64","1,728.92","","0.24%"
"12/22/2021","1,726.21","1,725.98","1,729.00","1,724.51","","0.06%"
"12/21/2021","1,725.09","1,724.25","1,725.85","1,723.47","","0.15%"
"12/20/2021","1,722.59","1,723.26","1,723.90","1,721.29","","-0.19%"
"12/17/2021","1,725.87","1,724.84","1,725.87","1,722.91","","0.05%"
"12/16/2021","1,725.02","1,724.35","1,725.65","1,723.14","","0.14%"
"12/15/2021","1,722.53","1,723.92","1,724.31","1,719.95","","-0.18%"
"12/14/2021","1,725.57","1,725.98","1,726.36","1,722.95","","-0.08%"
"12/13/2021","1,726.97","1,729.01","1,730.06","1,725.18","","-0.04%"
"12/10/2021","1,727.71","1,728.41","1,729.78","1,727.30","","-0.24%"
"12/09/2021","1,731.90","1,734.67","1,735.24","1,727.59","","-0.04%"
"12/08/2021","1,732.55","1,729.29","1,734.25","1,728.63","","0.30%"
"12/07/2021","1,727.45","1,725.61","1,728.60","1,724.62","","0.11%"
"12/06/2021","1,725.49","1,726.45","1,727.03","1,724.37","","-0.03%"
"12/03/2021","1,726.05","1,728.01","1,728.89","1,724.17","","-0.14%"
"12/02/2021","1,728.47","1,727.65","1,728.64","1,726.16","","-0.02%"
"12/01/2021","1,728.73","1,728.70","1,731.24","1,726.54","","0.30%"
"11/30/2021","1,723.61","1,721.74","1,729.07","1,721.74","","0.18%"
"11/29/2021","1,720.59","1,718.56","1,721.84","1,718.53","","0.06%"
"11/26/2021","1,719.56","1,724.06","1,724.07","1,717.16","","-0.31%"
"11/25/2021","1,724.83","1,723.69","1,725.05","1,723.22","","-0.01%"
"11/24/2021","1,725.02","1,725.72","1,726.95","1,722.73","","0.05%"
"11/23/2021","1,724.16","1,725.97","1,727.14","1,722.46","","-0.25%"
"11/22/2021","1,728.47","1,728.24","1,729.66","1,725.36","","-0.11%"
"11/19/2021","1,730.33","1,731.35","1,732.29","1,726.94","","-0.11%"
"11/18/2021","1,732.15","1,734.11","1,735.23","1,728.81","","-0.08%"
"11/17/2021","1,733.48","1,731.10","1,735.09","1,729.31","","0.14%"
